payment_id,order_id,amount,currency,status,method,created_at,captured_at
pay_7EmxIOzESBkJXn,order_zixlNQO9IEitBd,84112,INR,captured,UPI,2026-09-02 13:15:00,2026-09-02 13:27:00
pay_1h1pSZVPEJqzCN,order_vrHuRrq19Qf7W4,118497,INR,captured,UPI,2026-08-04 19:27:00,2026-08-04 19:36:00
pay_aDioQaRY9AiexT,order_s22fwfPOdMTUAf,486791,INR,captured,UPI,2026-08-09 22:11:00,2026-08-09 22:15:00
pay_0AHkD9eKan56yr,order_Usd37EgEKG895i,328204,INR,captured,EMI,2026-09-02 06:26:00,2026-09-02 06:54:00
pay_3PhTa1acw5l7cX,order_VbYqdSJeCwEJwp,419533,INR,captured,WALLET,2026-08-18 04:01:00,2026-08-18 04:05:00
pay_Rx8ffiYeJA7oqt,order_VxTtm8A78irco0,15030,INR,captured,WALLET,2026-08-22 00:02:00,2026-08-22 00:16:00
pay_iZxNNKqYbd3Bh4,order_dsYk70IIfgXhdW,196511,INR,captured,NETBANKING,2026-08-26 17:31:00,2026-08-26 17:39:00
pay_V6J8y59kotTwKR,order_n3Wd9GV98gOqY4,23664,INR,captured,NETBANKING,2026-08-21 20:22:00,2026-08-21 20:24:00
pay_2fRN2BqpepgaxT,order_0VJltYLNgEuevt,378054,INR,captured,CARD,2026-09-06 13:21:00,2026-09-06 13:42:00
pay_Q6Josy0cJGJ8j6,order_qZIjRfPYzUodyG,148042,INR,captured,WALLET,2026-08-29 15:52:00,2026-08-29 16:10:00
pay_YsrERg1i8BZqzO,order_JDkyMQyy2QdDqx,210825,INR,captured,CARD,2026-09-11 16:34:00,2026-09-11 16:45:00
pay_kXnL6SRr30CnsG,order_xkJ71OQqzbWVa4,57391,INR,captured,EMI,2026-08-19 00:56:00,2026-08-19 01:17:00
pay_3Onn2A2xKChdNJ,order_ND6wskOIsDTSI4,126582,INR,captured,EMI,2026-09-13 18:14:00,2026-09-13 18:36:00
pay_GAQi9EUk4Ybn9n,order_lPMpQvhxKkZssT,17380,INR,captured,UPI,2026-08-21 18:07:00,2026-08-21 18:27:00
pay_9sCgkcsXtTfVc0,order_QDoafgJE6WeS4N,297382,INR,captured,CARD,2026-09-01 07:05:00,2026-09-01 07:20:00
pay_NjZ3Ma5FDEkUtu,order_RQVJJ8PuGRfPpv,353394,INR,captured,NETBANKING,2026-08-21 00:25:00,2026-08-21 00:47:00
pay_ZluUcNPh3CKF7a,order_7sGRckiSSgLl5y,188969,INR,captured,UPI,2026-08-23 21:37:00,2026-08-23 21:52:00
pay_mUjrp0QsUcYg1T,order_VIK6SP3H2Aagxd,179020,INR,captured,CARD,2026-09-15 03:56:00,2026-09-15 03:58:00
pay_7GWjHzv2Pus6MD,order_uSjjud5MPEJwWt,453555,INR,captured,EMI,2026-08-17 00:11:00,2026-08-17 00:19:00
pay_nZmlX0059CIseg,order_2icJyHfnTTn40i,205627,INR,captured,EMI,2026-08-01 18:53:00,2026-08-01 18:59:00
pay_TsCFyFP0YMkFBl,order_0NYJVncq3HOjy3,50088,INR,captured,EMI,2026-08-05 00:38:00,2026-08-05 00:57:00
pay_lwShoYSDDnjZbc,order_p8nzYvX3a2BoFr,352536,INR,captured,EMI,2026-08-05 17:38:00,2026-08-05 17:43:00
pay_oXWxKTVRgiDo1r,order_2GUfO3Ha6QAA2R,332305,INR,captured,EMI,2026-09-08 01:19:00,2026-09-08 01:33:00
pay_9MGSL6YNBmOXrc,order_MQdyNXZDLfqwLS,220009,INR,captured,EMI,2026-08-22 18:47:00,2026-08-22 19:17:00
pay_GaZpfPYe5Dv3q6,order_VU7CCKbheN9Pot,207698,INR,captured,CARD,2026-09-06 16:30:00,2026-09-06 16:42:00
pay_zUwyBJ8QYSXI1m,order_CQanKuLqIoDMwE,73107,INR,captured,CARD,2026-09-14 17:41:00,2026-09-14 17:48:00
pay_Ly3W6UGBk0hopU,order_rNikYuNJ0ekots,51108,INR,captured,UPI,2026-08-25 20:56:00,2026-08-25 21:05:00
pay_DaAsoaxzIykTyx,order_DoftzjaGVirHQE,289856,INR,captured,NETBANKING,2026-08-20 11:51:00,2026-08-20 12:16:00
pay_CVG8DQtuNc6GpN,order_qyHl3pxa8Sx8p9,403514,INR,captured,CARD,2026-08-10 01:54:00,2026-08-10 02:01:00
pay_BYHCWFT2MwMtd7,order_3EBsRllvTrZ4Ie,389793,INR,captured,WALLET,2026-08-09 08:33:00,2026-08-09 08:38:00
pay_UVJPRAgXIFOHL5,order_ces67gSGlGpMlU,333450,INR,captured,NETBANKING,2026-08-18 18:03:00,2026-08-18 18:17:00
pay_A5hVU05NNdGtJu,order_XkZQJ4KsTJedVv,123999,INR,captured,CARD,2026-08-05 11:04:00,2026-08-05 11:31:00
pay_jZrvXsDuTnHUIM,order_9M9BjcYmxU0gd6,413534,INR,captured,CARD,2026-08-20 05:46:00,2026-08-20 06:16:00
pay_rdpy9966nvyiTG,order_FC5bpGuyjvvMo8,56148,INR,captured,EMI,2026-08-12 06:47:00,2026-08-12 07:04:00
pay_rks4Q4COfFlK3H,order_BZc9GyTIFNdsys,30191,INR,captured,WALLET,2026-09-03 03:43:00,2026-09-03 04:10:00
pay_rMYmldvjcJLufg,order_MpC1Ha2oKDzeLp,78981,INR,captured,CARD,2026-08-13 00:07:00,2026-08-13 00:25:00
pay_9zuINamrWtFuaQ,order_METEY2osmhCXTm,336759,INR,captured,NETBANKING,2026-08-23 04:25:00,2026-08-23 04:45:00
pay_DFl5TGWi2Y6PiS,order_Sqf2xZsGkxcmfF,71260,INR,captured,WALLET,2026-08-20 10:44:00,2026-08-20 11:10:00
pay_Ye5VJfXRgtNVD6,order_DPgdAlKKZRMtYS,36595,INR,captured,CARD,2026-08-09 00:59:00,2026-08-09 01:21:00
pay_zhswIdRYw11oRy,order_MBm2sXQ46S49KL,288531,INR,captured,NETBANKING,2026-08-19 13:18:00,2026-08-19 13:35:00
pay_wJ7eTG1UrGGLpN,order_IBwlLJ0oFzHw8J,248233,INR,captured,UPI,2026-09-02 14:28:00,2026-09-02 14:51:00
pay_olGc97KYZUzxOT,order_F0rir1agkKjBYq,264153,INR,captured,CARD,2026-08-06 04:19:00,2026-08-06 04:42:00
pay_bf6OZ6NRh1iO3J,order_VGQ9taaezGQvSp,394991,INR,captured,CARD,2026-09-13 20:05:00,2026-09-13 20:07:00
pay_CQ2jJ5ciOD4cRi,order_yXNE7Y7bvuSznO,320874,INR,captured,CARD,2026-08-16 16:41:00,2026-08-16 16:58:00
pay_KrQXDhiqBokQKS,order_RIB5cg0LWaEalf,407174,INR,captured,EMI,2026-08-27 05:44:00,2026-08-27 06:05:00
pay_0Ckv2LWNLk81f1,order_dBnLlxCmwqubJr,256934,INR,captured,WALLET,2026-09-07 16:32:00,2026-09-07 16:36:00
pay_e3Ce3r7grRE2GM,order_rdvEGhSQHsMX6Y,274013,INR,captured,NETBANKING,2026-09-13 14:26:00,2026-09-13 14:55:00
pay_s5zEjCtaT8uRDr,order_Xjh9JBwmRP8jB8,381254,INR,captured,EMI,2026-09-14 22:44:00,2026-09-14 23:02:00
pay_TzBkT3TzZLis9G,order_L64wj0wxrv82fT,267145,INR,captured,NETBANKING,2026-08-21 20:35:00,2026-08-21 20:50:00
pay_qA4wrG6FVlfUH2,order_BpQ8YxTbqKjCQw,314645,INR,captured,NETBANKING,2026-08-31 19:18:00,2026-08-31 19:20:00
pay_FdhpePUW5m3lvf,order_hRQtn8AVgbEAmc,400311,INR,captured,NETBANKING,2026-08-08 07:35:00,2026-08-08 07:57:00
pay_uK9hZSrSKqWNyD,order_l9EgBOfiyKg58e,259391,INR,captured,EMI,2026-09-13 12:32:00,2026-09-13 12:39:00
pay_KVMxA9zdpotfQ1,order_D0FyE8Mv8tbcZv,292796,INR,captured,UPI,2026-09-06 16:02:00,2026-09-06 16:26:00
pay_VlbR1Jn7UC6HMV,order_qJGAveZFsPtzpF,59667,INR,captured,WALLET,2026-09-07 11:29:00,2026-09-07 11:51:00
pay_ngnrz1dHRhHDpr,order_GZ65p2ohYuKyUo,309354,INR,captured,CARD,2026-09-02 04:07:00,2026-09-02 04:21:00
pay_dNNXiyMtfjG8ZV,order_T5uA4gjqeATHuR,441592,INR,captured,EMI,2026-09-01 16:04:00,2026-09-01 16:29:00
pay_Ei1L9rPzzjrqM4,order_7kJaGV5ZEnm6Yq,146397,INR,captured,NETBANKING,2026-08-10 03:02:00,2026-08-10 03:26:00
pay_I5NBldlDkCh3EB,order_2ZU5r2MVqt3t9V,33153,INR,captured,EMI,2026-08-09 17:02:00,2026-08-09 17:07:00
pay_poVybmyyO7jsXT,order_6uTT7JndNude7x,32988,INR,captured,NETBANKING,2026-09-11 21:14:00,2026-09-11 21:27:00
pay_AbyaOCzOUTsYMQ,order_2sKCPMq72llUL2,33728,INR,captured,WALLET,2026-08-06 14:12:00,2026-08-06 14:16:00
pay_E9WVVI302Lgd6X,order_smcb2wjZ3bdAMh,426013,INR,captured,UPI,2026-08-27 16:51:00,2026-08-27 16:59:00
pay_yQIsU4arG5RBmH,order_uyVAyc5jJ88X28,281239,INR,captured,EMI,2026-08-05 02:53:00,2026-08-05 03:07:00
pay_0osPYJixTgGlWC,order_MvcOhsTC8X9J3M,41428,INR,captured,CARD,2026-08-24 08:51:00,2026-08-24 09:09:00
pay_XiKd33nYEhv1zJ,order_cjI5h0gwrGhsxs,121485,INR,captured,EMI,2026-08-30 16:09:00,2026-08-30 16:10:00
pay_Bz1tphgkipftzk,order_OG7rmZ0JfHtKE5,273527,INR,captured,EMI,2026-08-02 04:06:00,2026-08-02 04:17:00
pay_hiIrAL7tQvqUCp,order_d5qpQ90n0rkHef,352390,INR,captured,NETBANKING,2026-08-11 00:01:00,2026-08-11 00:24:00
