settlement_id,payment_id,order_id,amount,fee,tax,bank_reference,created_at,settled_at
setl_lpIn8srmRtv5Xq,pay_TdimuPGtk4vvVS,order_WxYpJRlBzzmFLD,278126,5697,1025,163989822734,2026-09-10 21:37:00,2026-09-12 21:37:00
setl_U2rcsL5uCNG3iF,pay_O4fJHS64k2k59y,order_guDQi78jO2DOUr,336337,6889,1240,283767032616,2026-08-15 01:57:00,2026-08-17 01:57:00
setl_QKWGGw4gZ3mHk0,pay_QN6wn7DC9xR4UX,order_U7sSaOQdhtzF3R,206121,4222,760,467484014556,2026-08-16 15:24:00,2026-08-18 15:24:00
setl_jl2VbOM63oeKBP,pay_OvlHGTnabsPHGZ,order_rliNT7x3B4xe72,45095,924,166,820457719295,2026-08-31 01:09:00,2026-09-02 01:09:00
setl_xLceXKPnm4s4nl,pay_RX4I8IipmO50fS,order_QIcvNxGRzslHon,312646,6404,1153,777967323246,2026-08-12 21:50:00,2026-08-14 21:50:00
setl_z0oRaFxMPMDEaI,pay_7NEkXkSE4HNdc0,order_TbIKSsmoJpI6uV,33167,679,122,052908689101,2026-09-06 07:49:00,2026-09-08 07:49:00
setl_USyekoZy3uUi9S,pay_Gcn13Dce53Ic5t,order_9ObzxDNRf0Nu88,433661,8883,1599,590483793702,2026-08-06 22:47:00,2026-08-08 22:47:00
setl_jkrsWw6SEMCiay,pay_fLuxsyf348Jkxi,order_jywf6BVgfAIFgf,88712,1817,327,838448653664,2026-08-25 21:56:00,2026-08-27 21:56:00
setl_YK4gpPkLINO7uX,pay_NpOSWe9DyF5QHX,order_m9lVbT6mXZe0XP,196621,4027,725,102756234661,2026-08-08 19:19:00,2026-08-10 19:19:00
setl_OyT2BAanrRXJXH,pay_Yh0OPk9pkjI7oz,order_s5fZTvvWGvgSCe,22337,458,82,311649333134,2026-08-31 03:36:00,2026-09-02 03:36:00
setl_HkCUVIhhWZwZcS,pay_7EmxIOzESBkJXn,order_zixlNQO9IEitBd,82127,1682,303,591872943849,2026-09-02 13:27:00,2026-09-04 13:27:00
setl_UR2CEK10f8NR0X,pay_1h1pSZVPEJqzCN,order_vrHuRrq19Qf7W4,115700,2370,427,398432518787,2026-08-04 19:36:00,2026-08-06 19:36:00
setl_wsxY2NPeILkvnU,pay_aDioQaRY9AiexT,order_s22fwfPOdMTUAf,475303,9736,1752,964281173472,2026-08-09 22:15:00,2026-08-11 22:15:00
setl_AyNHjfe58juKVO,pay_0AHkD9eKan56yr,order_Usd37EgEKG895i,320458,6564,1182,634922916066,2026-09-02 06:54:00,2026-09-04 06:54:00
setl_p4tZJhPdnFcy21,pay_3PhTa1acw5l7cX,order_VbYqdSJeCwEJwp,409632,8391,1510,730432772399,2026-08-18 04:05:00,2026-08-20 04:05:00
setl_TtqemWKjkCzH7m,pay_Rx8ffiYeJA7oqt,order_VxTtm8A78irco0,14675,301,54,321168608302,2026-08-22 00:16:00,2026-08-24 00:16:00
setl_6d5ASExAv4rBjM,pay_iZxNNKqYbd3Bh4,order_dsYk70IIfgXhdW,191874,3930,707,664840346729,2026-08-26 17:39:00,2026-08-28 17:39:00
setl_IIl92EtEfonGa4,pay_V6J8y59kotTwKR,order_n3Wd9GV98gOqY4,23106,473,85,217983059788,2026-08-21 20:24:00,2026-08-23 20:24:00
setl_7x6ygsij6X7Ok8,pay_V6J8y59kotTwKR,order_n3Wd9GV98gOqY4,23106,473,85,217983059788,2026-08-21 20:24:00,2026-08-23 20:24:00
setl_ExHgD1OQke0st7,pay_2fRN2BqpepgaxT,order_0VJltYLNgEuevt,369132,7561,1361,013758056409,2026-09-06 13:42:00,2026-09-08 13:42:00
setl_98YhA9A9MZp44e,pay_Q6Josy0cJGJ8j6,order_qZIjRfPYzUodyG,144548,2961,533,333248765441,2026-08-29 16:10:00,2026-08-31 16:10:00
setl_4zEGxdXeRzWGJk,pay_YsrERg1i8BZqzO,order_JDkyMQyy2QdDqx,205850,4216,759,820003134396,2026-09-11 16:45:00,2026-09-13 16:45:00
setl_gFP0xOLsgd9N1q,pay_kXnL6SRr30CnsG,order_xkJ71OQqzbWVa4,56036,1148,207,782178886667,2026-08-19 01:17:00,2026-08-21 01:17:00
setl_3F1xsd0imzJ4Ct,pay_3Onn2A2xKChdNJ,order_ND6wskOIsDTSI4,123594,2532,456,774616027174,2026-09-13 18:36:00,2026-09-15 18:36:00
setl_kwOc2pHd9PObQz,pay_GAQi9EUk4Ybn9n,order_lPMpQvhxKkZssT,16969,348,63,354166366261,2026-08-21 18:27:00,2026-08-23 18:27:00
setl_37qTxvhyCZQDA2,pay_9sCgkcsXtTfVc0,order_QDoafgJE6WeS4N,290363,5948,1071,117981945467,2026-09-01 07:20:00,2026-09-03 07:20:00
setl_nNzoCXB1BhEOgz,pay_NjZ3Ma5FDEkUtu,order_RQVJJ8PuGRfPpv,345054,7068,1272,500663526930,2026-08-21 00:47:00,2026-08-23 00:47:00
setl_AK5W4QkYgOLt2z,pay_ZluUcNPh3CKF7a,order_7sGRckiSSgLl5y,184510,3779,680,662332816858,2026-08-23 21:52:00,2026-08-25 21:52:00
setl_IoWXrP5y78tIap,pay_mUjrp0QsUcYg1T,order_VIK6SP3H2Aagxd,174796,3580,644,678897675679,2026-09-15 03:58:00,2026-09-17 03:58:00
setl_8aPB4MM7Qt46xH,pay_7GWjHzv2Pus6MD,order_uSjjud5MPEJwWt,442851,9071,1633,298384081591,2026-08-17 00:19:00,2026-08-19 00:19:00
setl_uhOgM3tBMsKJwt,pay_nZmlX0059CIseg,order_2icJyHfnTTn40i,200774,4113,740,402274817843,2026-08-01 18:59:00,2026-08-03 18:59:00
setl_7TDwnEdwcm4wDC,pay_TsCFyFP0YMkFBl,order_0NYJVncq3HOjy3,48906,1002,180,093758825163,2026-08-05 00:57:00,2026-08-07 00:57:00
setl_iF3jk5Gz8N2TY6,pay_lwShoYSDDnjZbc,order_p8nzYvX3a2BoFr,344216,7051,1269,264424157651,2026-08-05 17:43:00,2026-08-07 17:43:00
setl_lRWJhaOQtwjOp1,pay_oXWxKTVRgiDo1r,order_2GUfO3Ha6QAA2R,324463,6646,1196,432674743523,2026-09-08 01:33:00,2026-09-10 01:33:00
setl_RMPwO8fryPzmaR,pay_9MGSL6YNBmOXrc,order_MQdyNXZDLfqwLS,214817,4400,792,957553829440,2026-08-22 19:17:00,2026-08-24 19:17:00
setl_mT2mmpMjg5PPMV,pay_GaZpfPYe5Dv3q6,order_VU7CCKbheN9Pot,202796,4154,748,504649884992,2026-09-06 16:42:00,2026-09-08 16:42:00
setl_aAi3NHtEp1cgkn,pay_zUwyBJ8QYSXI1m,order_CQanKuLqIoDMwE,71382,1462,263,280723583436,2026-09-14 17:48:00,2026-09-16 17:48:00
setl_yf6DdVG9gMf5yo,pay_Ly3W6UGBk0hopU,order_rNikYuNJ0ekots,49902,1022,184,741510398489,2026-08-25 21:05:00,2026-08-27 21:05:00
setl_MGXMRqOGqleigC,pay_DaAsoaxzIykTyx,order_DoftzjaGVirHQE,283016,5797,1043,474319092140,2026-08-20 12:16:00,2026-08-22 12:16:00
setl_dP8oAaXKyp8KQQ,pay_CVG8DQtuNc6GpN,order_qyHl3pxa8Sx8p9,393991,8070,1453,172463970315,2026-08-10 02:01:00,2026-08-12 02:01:00
setl_QVjrztfOc6lbgl,pay_BYHCWFT2MwMtd7,order_3EBsRllvTrZ4Ie,380594,7796,1403,063465027096,2026-08-09 08:38:00,2026-08-11 08:38:00
setl_90zNZuoHxIUwC7,pay_UVJPRAgXIFOHL5,order_ces67gSGlGpMlU,325581,6669,1200,002018092379,2026-08-18 18:17:00,2026-08-20 18:17:00
setl_P98UJfAWjuDUHq,pay_A5hVU05NNdGtJu,order_XkZQJ4KsTJedVv,121073,2480,446,346741355952,2026-08-05 11:31:00,2026-08-07 11:31:00
setl_Px4GpdmRqC6eOP,pay_jZrvXsDuTnHUIM,order_9M9BjcYmxU0gd6,403774,8271,1489,931283957945,2026-08-20 06:16:00,2026-08-22 06:16:00
setl_QzJAtLBiOKQmiQ,pay_rdpy9966nvyiTG,order_FC5bpGuyjvvMo8,54823,1123,202,894976510571,2026-08-12 07:04:00,2026-08-14 07:04:00
setl_BlKSmCpQ4XShhB,pay_rks4Q4COfFlK3H,order_BZc9GyTIFNdsys,29478,604,109,353759337956,2026-09-03 04:10:00,2026-09-05 04:10:00
setl_rORJI7UwcVu3YV,pay_rMYmldvjcJLufg,order_MpC1Ha2oKDzeLp,77117,1580,284,804183422059,2026-08-13 00:25:00,2026-08-15 00:25:00
setl_J7ZmZ5DDcijC13,pay_9zuINamrWtFuaQ,order_METEY2osmhCXTm,328812,6735,1212,489055650539,2026-08-23 04:45:00,2026-08-25 04:45:00
setl_1htc02u3gVUbVN,pay_DFl5TGWi2Y6PiS,order_Sqf2xZsGkxcmfF,69579,1425,256,222576211951,2026-08-20 11:10:00,2026-08-22 11:10:00
setl_M4yRPW2CbDvCkV,pay_Ye5VJfXRgtNVD6,order_DPgdAlKKZRMtYS,35731,732,132,611873675446,2026-08-09 01:21:00,2026-08-11 01:21:00
setl_zAnkiI0wzr2haO,pay_zhswIdRYw11oRy,order_MBm2sXQ46S49KL,281721,5771,1039,186911888696,2026-08-19 13:35:00,2026-08-21 13:35:00
setl_HJM4HaC4Juv8sk,pay_wJ7eTG1UrGGLpN,order_IBwlLJ0oFzHw8J,242374,4965,894,653726556270,2026-09-02 14:51:00,2026-09-04 14:51:00
setl_TvNUhkysUUHxRD,pay_olGc97KYZUzxOT,order_F0rir1agkKjBYq,257919,5283,951,180946960969,2026-08-06 04:42:00,2026-08-08 04:42:00
setl_RpC6N5rA4VukeW,pay_bf6OZ6NRh1iO3J,order_VGQ9taaezGQvSp,385669,7900,1422,330924496141,2026-09-13 20:07:00,2026-09-15 20:07:00
setl_4YgLZdYhKMdmuZ,pay_CQ2jJ5ciOD4cRi,order_yXNE7Y7bvuSznO,313302,6417,1155,741653920102,2026-08-16 16:58:00,2026-08-18 16:58:00
setl_MWvaohGfwVHnVO,pay_KrQXDhiqBokQKS,order_RIB5cg0LWaEalf,397565,8143,1466,217694160624,2026-08-27 06:05:00,2026-08-29 06:05:00
setl_uXVcT5kWEh3SKu,pay_KrQXDhiqBokQKS,order_RIB5cg0LWaEalf,397565,8143,1466,217694160624,2026-08-27 06:05:00,2026-08-29 06:05:00
setl_nDCaA2pAn5643z,pay_0Ckv2LWNLk81f1,order_dBnLlxCmwqubJr,250870,5139,925,097543860407,2026-09-07 16:36:00,2026-09-09 16:36:00
setl_Q5DATblbXZGuJO,pay_e3Ce3r7grRE2GM,order_rdvEGhSQHsMX6Y,267547,5480,986,746554583723,2026-09-13 14:55:00,2026-09-15 14:55:00
setl_XT5ugDcQhbMnwu,pay_s5zEjCtaT8uRDr,order_Xjh9JBwmRP8jB8,372257,7625,1372,615771086993,2026-09-14 23:02:00,2026-09-16 23:02:00
setl_7Ufz4zISUilxIc,pay_TzBkT3TzZLis9G,order_L64wj0wxrv82fT,260840,5343,962,883540029846,2026-08-21 20:50:00,2026-08-23 20:50:00
setl_RwHviirWz5knFZ,pay_qA4wrG6FVlfUH2,order_BpQ8YxTbqKjCQw,307219,6293,1133,756987784911,2026-08-31 19:20:00,2026-09-02 19:20:00
setl_vjFToJgJanlr3H,pay_FdhpePUW5m3lvf,order_hRQtn8AVgbEAmc,390864,8006,1441,902573549133,2026-08-08 07:57:00,2026-08-10 07:57:00
setl_nog9hgiVRIcuhr,pay_FdhpePUW5m3lvf,order_hRQtn8AVgbEAmc,390864,8006,1441,902573549133,2026-08-08 07:57:00,2026-08-10 07:57:00
setl_9FjChEo6bTZEbl,pay_uK9hZSrSKqWNyD,order_l9EgBOfiyKg58e,253269,5188,934,633676544245,2026-09-13 12:39:00,2026-09-15 12:39:00
setl_HYHbV92hB0BckO,pay_uK9hZSrSKqWNyD,order_l9EgBOfiyKg58e,253269,5188,934,633676544245,2026-09-13 12:39:00,2026-09-15 12:39:00
setl_buC1J3qRK9xyJY,pay_KVMxA9zdpotfQ1,order_D0FyE8Mv8tbcZv,285886,5856,1054,163573634487,2026-09-06 16:26:00,2026-09-08 16:26:00
setl_TdmCoUV0z14N0q,pay_VlbR1Jn7UC6HMV,order_qJGAveZFsPtzpF,58259,1193,215,216221073494,2026-09-07 11:51:00,2026-09-09 11:51:00
setl_4mqbWrINcSWd3t,pay_VlbR1Jn7UC6HMV,order_qJGAveZFsPtzpF,58259,1193,215,216221073494,2026-09-07 11:51:00,2026-09-09 11:51:00
setl_SYb7L0P6QWoIt7,pay_ngnrz1dHRhHDpr,order_GZ65p2ohYuKyUo,302053,6187,1114,381883939208,2026-09-02 04:21:00,2026-09-04 04:21:00
setl_XtDTqQZXmzl262,pay_dNNXiyMtfjG8ZV,order_T5uA4gjqeATHuR,431170,8832,1590,299669917144,2026-09-01 16:29:00,2026-09-03 16:29:00
setl_OfD28ynxALeId5,pay_Ei1L9rPzzjrqM4,order_7kJaGV5ZEnm6Yq,142942,2928,527,436687805396,2026-08-10 03:26:00,2026-08-12 03:26:00
setl_E01hf1lkFq3KK8,pay_I5NBldlDkCh3EB,order_2ZU5r2MVqt3t9V,32371,663,119,554076806635,2026-08-09 17:07:00,2026-08-11 17:07:00
setl_LwfwmByqLfAwlN,pay_poVybmyyO7jsXT,order_6uTT7JndNude7x,32209,660,119,059667956040,2026-09-11 21:27:00,2026-09-13 21:27:00
setl_Xs9QspAJI4FFzC,pay_poVybmyyO7jsXT,order_6uTT7JndNude7x,32209,660,119,059667956040,2026-09-11 21:27:00,2026-09-13 21:27:00
setl_filYRlbDio01Hf,pay_AbyaOCzOUTsYMQ,order_2sKCPMq72llUL2,32931,675,122,714197440422,2026-08-06 14:16:00,2026-08-08 14:16:00
setl_WL1gIFkhmwTRVE,pay_E9WVVI302Lgd6X,order_smcb2wjZ3bdAMh,415959,8520,1534,813812970842,2026-08-27 16:59:00,2026-08-29 16:59:00
setl_R3WzmscuSTh9rf,pay_yQIsU4arG5RBmH,order_uyVAyc5jJ88X28,274602,5625,1012,557107527791,2026-08-05 03:07:00,2026-08-07 03:07:00
setl_Zfd3DBwGKGyqEA,pay_0osPYJixTgGlWC,order_MvcOhsTC8X9J3M,40450,829,149,494981171781,2026-08-24 09:09:00,2026-08-26 09:09:00
setl_uxZZiiNVPjTfMM,pay_XiKd33nYEhv1zJ,order_cjI5h0gwrGhsxs,118618,2430,437,393064201067,2026-08-30 16:10:00,2026-09-01 16:10:00
setl_lSsgi3p63doLoF,pay_Bz1tphgkipftzk,order_OG7rmZ0JfHtKE5,267071,5471,985,592350069055,2026-08-02 04:17:00,2026-08-04 04:17:00
setl_CLaQOaD3Pz3RVH,pay_hiIrAL7tQvqUCp,order_d5qpQ90n0rkHef,344073,7048,1269,760086638831,2026-08-11 00:24:00,2026-08-13 00:24:00
