entity_id,type,order_id,payment_id,refund_id,method,amount,debit,credit,fee,tax,bank_reference,created_at,settled_at
setl_jl2VbOM63oeKBP,payment,order_rliNT7x3B4xe72,pay_OvlHGTnabsPHGZ,,CARD,45095,0,45095,924,166,820457719295,2026-08-31 01:09:00,2026-09-02 01:09:00
setl_xLceXKPnm4s4nl,payment,order_QIcvNxGRzslHon,pay_RX4I8IipmO50fS,,CARD,312646,0,312646,6404,1153,777967323246,2026-08-12 21:50:00,2026-08-14 21:50:00
setl_z0oRaFxMPMDEaI,payment,order_TbIKSsmoJpI6uV,pay_7NEkXkSE4HNdc0,,UPI,33167,0,33167,679,122,052908689101,2026-09-06 07:49:00,2026-09-08 07:49:00
setl_USyekoZy3uUi9S,payment,order_9ObzxDNRf0Nu88,pay_Gcn13Dce53Ic5t,,CARD,433661,0,433661,8883,1599,590483793702,2026-08-06 22:47:00,2026-08-08 22:47:00
setl_jkrsWw6SEMCiay,payment,order_jywf6BVgfAIFgf,pay_fLuxsyf348Jkxi,,NETBANKING,88712,0,88712,1817,327,838448653664,2026-08-25 21:56:00,2026-08-27 21:56:00
setl_YK4gpPkLINO7uX,payment,order_m9lVbT6mXZe0XP,pay_NpOSWe9DyF5QHX,,NETBANKING,196621,0,196621,4027,725,102756234661,2026-08-08 19:19:00,2026-08-10 19:19:00
setl_OyT2BAanrRXJXH,payment,order_s5fZTvvWGvgSCe,pay_Yh0OPk9pkjI7oz,,CARD,22337,0,22337,458,82,311649333134,2026-08-31 03:36:00,2026-09-02 03:36:00
setl_HkCUVIhhWZwZcS,payment,order_zixlNQO9IEitBd,pay_7EmxIOzESBkJXn,,UPI,82127,0,82127,1682,303,591872943849,2026-09-02 13:27:00,2026-09-04 13:27:00
setl_UR2CEK10f8NR0X,payment,order_vrHuRrq19Qf7W4,pay_1h1pSZVPEJqzCN,,UPI,115700,0,115700,2370,427,398432518787,2026-08-04 19:36:00,2026-08-06 19:36:00
setl_wsxY2NPeILkvnU,payment,order_s22fwfPOdMTUAf,pay_aDioQaRY9AiexT,,UPI,475303,0,475303,9736,1752,964281173472,2026-08-09 22:15:00,2026-08-11 22:15:00
setl_AyNHjfe58juKVO,payment,order_Usd37EgEKG895i,pay_0AHkD9eKan56yr,,EMI,320458,0,320458,6564,1182,634922916066,2026-09-02 06:54:00,2026-09-04 06:54:00
setl_p4tZJhPdnFcy21,payment,order_VbYqdSJeCwEJwp,pay_3PhTa1acw5l7cX,,WALLET,409632,0,409632,8391,1510,730432772399,2026-08-18 04:05:00,2026-08-20 04:05:00
setl_TtqemWKjkCzH7m,payment,order_VxTtm8A78irco0,pay_Rx8ffiYeJA7oqt,,WALLET,14675,0,14675,301,54,321168608302,2026-08-22 00:16:00,2026-08-24 00:16:00
setl_6d5ASExAv4rBjM,payment,order_dsYk70IIfgXhdW,pay_iZxNNKqYbd3Bh4,,NETBANKING,191874,0,191874,3930,707,664840346729,2026-08-26 17:39:00,2026-08-28 17:39:00
setl_IIl92EtEfonGa4,payment,order_n3Wd9GV98gOqY4,pay_V6J8y59kotTwKR,,NETBANKING,23106,0,23106,473,85,217983059788,2026-08-21 20:24:00,2026-08-23 20:24:00
setl_7x6ygsij6X7Ok8,payment,order_n3Wd9GV98gOqY4,pay_V6J8y59kotTwKR,,NETBANKING,23106,0,23106,473,85,217983059788,2026-08-21 20:24:00,2026-08-23 20:24:00
setl_ExHgD1OQke0st7,payment,order_0VJltYLNgEuevt,pay_2fRN2BqpepgaxT,,CARD,369132,0,369132,7561,1361,013758056409,2026-09-06 13:42:00,2026-09-08 13:42:00
setl_98YhA9A9MZp44e,payment,order_qZIjRfPYzUodyG,pay_Q6Josy0cJGJ8j6,,WALLET,144548,0,144548,2961,533,333248765441,2026-08-29 16:10:00,2026-08-31 16:10:00
setl_4zEGxdXeRzWGJk,payment,order_JDkyMQyy2QdDqx,pay_YsrERg1i8BZqzO,,CARD,205850,0,205850,4216,759,820003134396,2026-09-11 16:45:00,2026-09-13 16:45:00
setl_gFP0xOLsgd9N1q,payment,order_xkJ71OQqzbWVa4,pay_kXnL6SRr30CnsG,,EMI,56036,0,56036,1148,207,782178886667,2026-08-19 01:17:00,2026-08-21 01:17:00
setl_3F1xsd0imzJ4Ct,payment,order_ND6wskOIsDTSI4,pay_3Onn2A2xKChdNJ,,EMI,123594,0,123594,2532,456,774616027174,2026-09-13 18:36:00,2026-09-15 18:36:00
setl_kwOc2pHd9PObQz,payment,order_lPMpQvhxKkZssT,pay_GAQi9EUk4Ybn9n,,UPI,16969,0,16969,348,63,354166366261,2026-08-21 18:27:00,2026-08-23 18:27:00
setl_37qTxvhyCZQDA2,payment,order_QDoafgJE6WeS4N,pay_9sCgkcsXtTfVc0,,CARD,290363,0,290363,5948,1071,117981945467,2026-09-01 07:20:00,2026-09-03 07:20:00
setl_nNzoCXB1BhEOgz,payment,order_RQVJJ8PuGRfPpv,pay_NjZ3Ma5FDEkUtu,,NETBANKING,345054,0,345054,7068,1272,500663526930,2026-08-21 00:47:00,2026-08-23 00:47:00
setl_AK5W4QkYgOLt2z,payment,order_7sGRckiSSgLl5y,pay_ZluUcNPh3CKF7a,,UPI,184510,0,184510,3779,680,662332816858,2026-08-23 21:52:00,2026-08-25 21:52:00
setl_IoWXrP5y78tIap,payment,order_VIK6SP3H2Aagxd,pay_mUjrp0QsUcYg1T,,CARD,174796,0,174796,3580,644,678897675679,2026-09-15 03:58:00,2026-09-17 03:58:00
setl_8aPB4MM7Qt46xH,payment,order_uSjjud5MPEJwWt,pay_7GWjHzv2Pus6MD,,EMI,442851,0,442851,9071,1633,298384081591,2026-08-17 00:19:00,2026-08-19 00:19:00
setl_uhOgM3tBMsKJwt,payment,order_2icJyHfnTTn40i,pay_nZmlX0059CIseg,,EMI,200774,0,200774,4113,740,402274817843,2026-08-01 18:59:00,2026-08-03 18:59:00
setl_7TDwnEdwcm4wDC,payment,order_0NYJVncq3HOjy3,pay_TsCFyFP0YMkFBl,,EMI,48906,0,48906,1002,180,093758825163,2026-08-05 00:57:00,2026-08-07 00:57:00
setl_iF3jk5Gz8N2TY6,payment,order_p8nzYvX3a2BoFr,pay_lwShoYSDDnjZbc,,EMI,344216,0,344216,7051,1269,264424157651,2026-08-05 17:43:00,2026-08-07 17:43:00
setl_lRWJhaOQtwjOp1,payment,order_2GUfO3Ha6QAA2R,pay_oXWxKTVRgiDo1r,,EMI,324463,0,324463,6646,1196,432674743523,2026-09-08 01:33:00,2026-09-10 01:33:00
setl_RMPwO8fryPzmaR,payment,order_MQdyNXZDLfqwLS,pay_9MGSL6YNBmOXrc,,EMI,214817,0,214817,4400,792,957553829440,2026-08-22 19:17:00,2026-08-24 19:17:00
setl_mT2mmpMjg5PPMV,payment,order_VU7CCKbheN9Pot,pay_GaZpfPYe5Dv3q6,,CARD,202796,0,202796,4154,748,504649884992,2026-09-06 16:42:00,2026-09-08 16:42:00
setl_aAi3NHtEp1cgkn,payment,order_CQanKuLqIoDMwE,pay_zUwyBJ8QYSXI1m,,CARD,71382,0,71382,1462,263,280723583436,2026-09-14 17:48:00,2026-09-16 17:48:00
setl_yf6DdVG9gMf5yo,payment,order_rNikYuNJ0ekots,pay_Ly3W6UGBk0hopU,,UPI,49902,0,49902,1022,184,741510398489,2026-08-25 21:05:00,2026-08-27 21:05:00
setl_MGXMRqOGqleigC,payment,order_DoftzjaGVirHQE,pay_DaAsoaxzIykTyx,,NETBANKING,283016,0,283016,5797,1043,474319092140,2026-08-20 12:16:00,2026-08-22 12:16:00
setl_dP8oAaXKyp8KQQ,payment,order_qyHl3pxa8Sx8p9,pay_CVG8DQtuNc6GpN,,CARD,393991,0,393991,8070,1453,172463970315,2026-08-10 02:01:00,2026-08-12 02:01:00
setl_QVjrztfOc6lbgl,payment,order_3EBsRllvTrZ4Ie,pay_BYHCWFT2MwMtd7,,WALLET,380594,0,380594,7796,1403,063465027096,2026-08-09 08:38:00,2026-08-11 08:38:00
setl_90zNZuoHxIUwC7,payment,order_ces67gSGlGpMlU,pay_UVJPRAgXIFOHL5,,NETBANKING,325581,0,325581,6669,1200,002018092379,2026-08-18 18:17:00,2026-08-20 18:17:00
setl_P98UJfAWjuDUHq,payment,order_XkZQJ4KsTJedVv,pay_A5hVU05NNdGtJu,,CARD,121073,0,121073,2480,446,346741355952,2026-08-05 11:31:00,2026-08-07 11:31:00
setl_Px4GpdmRqC6eOP,payment,order_9M9BjcYmxU0gd6,pay_jZrvXsDuTnHUIM,,CARD,403774,0,403774,8271,1489,931283957945,2026-08-20 06:16:00,2026-08-22 06:16:00
setl_QzJAtLBiOKQmiQ,payment,order_FC5bpGuyjvvMo8,pay_rdpy9966nvyiTG,,EMI,54823,0,54823,1123,202,894976510571,2026-08-12 07:04:00,2026-08-14 07:04:00
setl_BlKSmCpQ4XShhB,payment,order_BZc9GyTIFNdsys,pay_rks4Q4COfFlK3H,,WALLET,29478,0,29478,604,109,353759337956,2026-09-03 04:10:00,2026-09-05 04:10:00
setl_rORJI7UwcVu3YV,payment,order_MpC1Ha2oKDzeLp,pay_rMYmldvjcJLufg,,CARD,77117,0,77117,1580,284,804183422059,2026-08-13 00:25:00,2026-08-15 00:25:00
setl_J7ZmZ5DDcijC13,payment,order_METEY2osmhCXTm,pay_9zuINamrWtFuaQ,,NETBANKING,328812,0,328812,6735,1212,489055650539,2026-08-23 04:45:00,2026-08-25 04:45:00
setl_1htc02u3gVUbVN,payment,order_Sqf2xZsGkxcmfF,pay_DFl5TGWi2Y6PiS,,WALLET,69579,0,69579,1425,256,222576211951,2026-08-20 11:10:00,2026-08-22 11:10:00
setl_M4yRPW2CbDvCkV,payment,order_DPgdAlKKZRMtYS,pay_Ye5VJfXRgtNVD6,,CARD,35731,0,35731,732,132,611873675446,2026-08-09 01:21:00,2026-08-11 01:21:00
setl_zAnkiI0wzr2haO,payment,order_MBm2sXQ46S49KL,pay_zhswIdRYw11oRy,,NETBANKING,281721,0,281721,5771,1039,186911888696,2026-08-19 13:35:00,2026-08-21 13:35:00
setl_HJM4HaC4Juv8sk,payment,order_IBwlLJ0oFzHw8J,pay_wJ7eTG1UrGGLpN,,UPI,242374,0,242374,4965,894,653726556270,2026-09-02 14:51:00,2026-09-04 14:51:00
setl_TvNUhkysUUHxRD,payment,order_F0rir1agkKjBYq,pay_olGc97KYZUzxOT,,CARD,257919,0,257919,5283,951,180946960969,2026-08-06 04:42:00,2026-08-08 04:42:00
setl_RpC6N5rA4VukeW,payment,order_VGQ9taaezGQvSp,pay_bf6OZ6NRh1iO3J,,CARD,385669,0,385669,7900,1422,330924496141,2026-09-13 20:07:00,2026-09-15 20:07:00
setl_4YgLZdYhKMdmuZ,payment,order_yXNE7Y7bvuSznO,pay_CQ2jJ5ciOD4cRi,,CARD,313302,0,313302,6417,1155,741653920102,2026-08-16 16:58:00,2026-08-18 16:58:00
setl_MWvaohGfwVHnVO,payment,order_RIB5cg0LWaEalf,pay_KrQXDhiqBokQKS,,EMI,397565,0,397565,8143,1466,217694160624,2026-08-27 06:05:00,2026-08-29 06:05:00
setl_uXVcT5kWEh3SKu,payment,order_RIB5cg0LWaEalf,pay_KrQXDhiqBokQKS,,EMI,397565,0,397565,8143,1466,217694160624,2026-08-27 06:05:00,2026-08-29 06:05:00
setl_nDCaA2pAn5643z,payment,order_dBnLlxCmwqubJr,pay_0Ckv2LWNLk81f1,,WALLET,250870,0,250870,5139,925,097543860407,2026-09-07 16:36:00,2026-09-09 16:36:00
setl_Q5DATblbXZGuJO,payment,order_rdvEGhSQHsMX6Y,pay_e3Ce3r7grRE2GM,,NETBANKING,267547,0,267547,5480,986,746554583723,2026-09-13 14:55:00,2026-09-15 14:55:00
setl_XT5ugDcQhbMnwu,payment,order_Xjh9JBwmRP8jB8,pay_s5zEjCtaT8uRDr,,EMI,372257,0,372257,7625,1372,615771086993,2026-09-14 23:02:00,2026-09-16 23:02:00
setl_7Ufz4zISUilxIc,payment,order_L64wj0wxrv82fT,pay_TzBkT3TzZLis9G,,NETBANKING,260840,0,260840,5343,962,883540029846,2026-08-21 20:50:00,2026-08-23 20:50:00
setl_RwHviirWz5knFZ,payment,order_BpQ8YxTbqKjCQw,pay_qA4wrG6FVlfUH2,,NETBANKING,307219,0,307219,6293,1133,756987784911,2026-08-31 19:20:00,2026-09-02 19:20:00
setl_vjFToJgJanlr3H,payment,order_hRQtn8AVgbEAmc,pay_FdhpePUW5m3lvf,,NETBANKING,390864,0,390864,8006,1441,902573549133,2026-08-08 07:57:00,2026-08-10 07:57:00
setl_nog9hgiVRIcuhr,payment,order_hRQtn8AVgbEAmc,pay_FdhpePUW5m3lvf,,NETBANKING,390864,0,390864,8006,1441,902573549133,2026-08-08 07:57:00,2026-08-10 07:57:00
setl_9FjChEo6bTZEbl,payment,order_l9EgBOfiyKg58e,pay_uK9hZSrSKqWNyD,,EMI,253269,0,253269,5188,934,633676544245,2026-09-13 12:39:00,2026-09-15 12:39:00
setl_HYHbV92hB0BckO,payment,order_l9EgBOfiyKg58e,pay_uK9hZSrSKqWNyD,,EMI,253269,0,253269,5188,934,633676544245,2026-09-13 12:39:00,2026-09-15 12:39:00
setl_buC1J3qRK9xyJY,payment,order_D0FyE8Mv8tbcZv,pay_KVMxA9zdpotfQ1,,UPI,285886,0,285886,5856,1054,163573634487,2026-09-06 16:26:00,2026-09-08 16:26:00
setl_TdmCoUV0z14N0q,payment,order_qJGAveZFsPtzpF,pay_VlbR1Jn7UC6HMV,,WALLET,58259,0,58259,1193,215,216221073494,2026-09-07 11:51:00,2026-09-09 11:51:00
setl_4mqbWrINcSWd3t,payment,order_qJGAveZFsPtzpF,pay_VlbR1Jn7UC6HMV,,WALLET,58259,0,58259,1193,215,216221073494,2026-09-07 11:51:00,2026-09-09 11:51:00
setl_SYb7L0P6QWoIt7,payment,order_GZ65p2ohYuKyUo,pay_ngnrz1dHRhHDpr,,CARD,302053,0,302053,6187,1114,381883939208,2026-09-02 04:21:00,2026-09-04 04:21:00
setl_XtDTqQZXmzl262,payment,order_T5uA4gjqeATHuR,pay_dNNXiyMtfjG8ZV,,EMI,431170,0,431170,8832,1590,299669917144,2026-09-01 16:29:00,2026-09-03 16:29:00
setl_OfD28ynxALeId5,payment,order_7kJaGV5ZEnm6Yq,pay_Ei1L9rPzzjrqM4,,NETBANKING,142942,0,142942,2928,527,436687805396,2026-08-10 03:26:00,2026-08-12 03:26:00
setl_E01hf1lkFq3KK8,payment,order_2ZU5r2MVqt3t9V,pay_I5NBldlDkCh3EB,,EMI,32371,0,32371,663,119,554076806635,2026-08-09 17:07:00,2026-08-11 17:07:00
setl_LwfwmByqLfAwlN,payment,order_6uTT7JndNude7x,pay_poVybmyyO7jsXT,,NETBANKING,32209,0,32209,660,119,059667956040,2026-09-11 21:27:00,2026-09-13 21:27:00
setl_Xs9QspAJI4FFzC,payment,order_6uTT7JndNude7x,pay_poVybmyyO7jsXT,,NETBANKING,32209,0,32209,660,119,059667956040,2026-09-11 21:27:00,2026-09-13 21:27:00
setl_filYRlbDio01Hf,payment,order_2sKCPMq72llUL2,pay_AbyaOCzOUTsYMQ,,WALLET,32931,0,32931,675,122,714197440422,2026-08-06 14:16:00,2026-08-08 14:16:00
setl_WL1gIFkhmwTRVE,payment,order_smcb2wjZ3bdAMh,pay_E9WVVI302Lgd6X,,UPI,415959,0,415959,8520,1534,813812970842,2026-08-27 16:59:00,2026-08-29 16:59:00
setl_R3WzmscuSTh9rf,payment,order_uyVAyc5jJ88X28,pay_yQIsU4arG5RBmH,,EMI,274602,0,274602,5625,1012,557107527791,2026-08-05 03:07:00,2026-08-07 03:07:00
setl_Zfd3DBwGKGyqEA,payment,order_MvcOhsTC8X9J3M,pay_0osPYJixTgGlWC,,CARD,40450,0,40450,829,149,494981171781,2026-08-24 09:09:00,2026-08-26 09:09:00
setl_uxZZiiNVPjTfMM,payment,order_cjI5h0gwrGhsxs,pay_XiKd33nYEhv1zJ,,EMI,118618,0,118618,2430,437,393064201067,2026-08-30 16:10:00,2026-09-01 16:10:00
setl_lSsgi3p63doLoF,payment,order_OG7rmZ0JfHtKE5,pay_Bz1tphgkipftzk,,EMI,267071,0,267071,5471,985,592350069055,2026-08-02 04:17:00,2026-08-04 04:17:00
setl_CLaQOaD3Pz3RVH,payment,order_d5qpQ90n0rkHef,pay_hiIrAL7tQvqUCp,,NETBANKING,344073,0,344073,7048,1269,760086638831,2026-08-11 00:24:00,2026-08-13 00:24:00
rfnd_eVVhDIq2AnHTmt,refund,order_n62tOy4CqpIqK3,pay_w9iEU1jjQKxKDp,rfnd_eVVhDIq2AnHTmt,EMI,220325,220325,0,0,0,964512352206,2026-08-23 02:28:00,2026-08-23 02:28:00
rfnd_rgmolaHr8IRh1E,refund,order_g7NZRBT7qYHDBT,pay_tp5rBUJPuEuEvq,rfnd_rgmolaHr8IRh1E,NETBANKING,455422,455422,0,0,0,854410948406,2026-09-01 16:52:00,2026-09-01 16:52:00
rfnd_Hyx6RHKT2OZM6r,refund,order_XnlpUVQigMcWcw,pay_fsUkiH8G4ZpZDY,rfnd_Hyx6RHKT2OZM6r,NETBANKING,160048,160048,0,0,0,624239396029,2026-08-20 20:48:00,2026-08-20 20:48:00
rfnd_MjeBsrdFtCdZe1,refund,order_asnipuaUkxRFZX,pay_yUBCetAzNrz7k6,rfnd_MjeBsrdFtCdZe1,WALLET,217231,217231,0,0,0,865457848634,2026-09-13 01:55:00,2026-09-13 01:55:00
rfnd_rodJ0jwAsPLmbk,refund,order_0VJltYLNgEuevt,pay_2fRN2BqpepgaxT,rfnd_rodJ0jwAsPLmbk,CARD,378054,378054,0,0,0,208334605183,2026-09-11 13:42:00,2026-09-11 13:42:00
rfnd_R8WO6UjCufdXIJ,refund,order_uSjjud5MPEJwWt,pay_7GWjHzv2Pus6MD,rfnd_R8WO6UjCufdXIJ,EMI,453555,453555,0,0,0,223640656675,2026-08-22 00:19:00,2026-08-22 00:19:00
rfnd_Tjlib9MLLKobeW,refund,order_FC5bpGuyjvvMo8,pay_rdpy9966nvyiTG,rfnd_Tjlib9MLLKobeW,EMI,56148,56148,0,0,0,184613412499,2026-08-17 07:04:00,2026-08-17 07:04:00
rfnd_oPe5JEKCIYk7eg,refund,order_DPgdAlKKZRMtYS,pay_Ye5VJfXRgtNVD6,rfnd_oPe5JEKCIYk7eg,CARD,36595,36595,0,0,0,873460889601,2026-08-14 01:21:00,2026-08-14 01:21:00
rfnd_3jN5PqR4JF6EB0,refund,order_VGQ9taaezGQvSp,pay_bf6OZ6NRh1iO3J,rfnd_3jN5PqR4JF6EB0,CARD,394991,394991,0,0,0,775098459364,2026-09-18 20:07:00,2026-09-18 20:07:00
rfnd_JK8CiRl2MRaMxQ,refund,order_dBnLlxCmwqubJr,pay_0Ckv2LWNLk81f1,rfnd_JK8CiRl2MRaMxQ,WALLET,256934,256934,0,0,0,527665266395,2026-09-12 16:36:00,2026-09-12 16:36:00
rfnd_9cyFS541odbJIq,refund,order_2sKCPMq72llUL2,pay_AbyaOCzOUTsYMQ,rfnd_9cyFS541odbJIq,WALLET,33728,33728,0,0,0,681664417445,2026-08-11 14:16:00,2026-08-11 14:16:00
