case_id,entity_id,case_type,order_id,payment_id,method,settlement_id,refund_id,bank_txn_id,expected_amount,actual_amount,variance,transaction_date,settlement_date,bank_value_date,candidate_count,confidence_score,evidence,reason,recommended_action,decision,status
MATCH-012,setl_Rtva1JyiNbUnAv,CLEAN_MATCH,order_uhvPU1S8LvJnOn,pay_vIhroAIVMPILOQ,UPI,setl_Rtva1JyiNbUnAv,,TXN4271426460,3099.83,3099.83,0.0,2026-09-05,2026-09-07,2026-09-07,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN4271426460"", ""bank_amount"": 309983, ""bank_value_date"": ""2026-09-07T19:14:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-013,setl_5f0pKGytvukFhF,CLEAN_MATCH,order_asnipuaUkxRFZX,pay_yUBCetAzNrz7k6,WALLET,setl_5f0pKGytvukFhF,,TXN7477495668,2121.04,2121.04,0.0,2026-09-08,2026-09-10,2026-09-10,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7477495668"", ""bank_amount"": 212104, ""bank_value_date"": ""2026-09-10T01:55:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-014,setl_OPhRfINuhR694f,CLEAN_MATCH,order_YZ8fOcR9GLw4yW,pay_LWOefQrSO42uKi,NETBANKING,setl_OPhRfINuhR694f,,TXN5575686511,414.37,414.37,0.0,2026-08-29,2026-08-31,2026-08-31,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5575686511"", ""bank_amount"": 41437, ""bank_value_date"": ""2026-08-31T03:53:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-015,setl_GF9IyDN8pbWvTM,CLEAN_MATCH,order_BaepZITGgrscAX,pay_dZEHNJSsavJlPG,NETBANKING,setl_GF9IyDN8pbWvTM,,TXN0742010959,4352.21,4352.21,0.0,2026-08-09,2026-08-11,2026-08-11,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN0742010959"", ""bank_amount"": 435221, ""bank_value_date"": ""2026-08-11T16:15:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-016,setl_BBT4MANXdPzFUj,CLEAN_MATCH,order_cOr1cOqXByB7vl,pay_E5GXTeLYHteOtL,WALLET,setl_BBT4MANXdPzFUj,,TXN3401332901,2877.49,2877.49,0.0,2026-08-31,2026-09-02,2026-09-02,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3401332901"", ""bank_amount"": 287749, ""bank_value_date"": ""2026-09-02T09:01:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-017,setl_QjzCvi1t9vyVFg,CLEAN_MATCH,order_rMMfNKKkM3u5c1,pay_cNJOVzNEMr7DXQ,NETBANKING,setl_QjzCvi1t9vyVFg,,TXN7119484034,1102.54,1102.54,0.0,2026-09-10,2026-09-12,2026-09-12,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7119484034"", ""bank_amount"": 110254, ""bank_value_date"": ""2026-09-12T18:51:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-018,setl_U2rcsL5uCNG3iF,CLEAN_MATCH,order_guDQi78jO2DOUr,pay_O4fJHS64k2k59y,WALLET,setl_U2rcsL5uCNG3iF,,TXN6443409490,3363.37,3363.37,0.0,2026-08-15,2026-08-17,2026-08-17,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6443409490"", ""bank_amount"": 336337, ""bank_value_date"": ""2026-08-17T01:57:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-019,setl_jl2VbOM63oeKBP,CLEAN_MATCH,order_rliNT7x3B4xe72,pay_OvlHGTnabsPHGZ,CARD,setl_jl2VbOM63oeKBP,,TXN5782895425,450.95,450.95,0.0,2026-08-31,2026-09-02,2026-09-02,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5782895425"", ""bank_amount"": 45095, ""bank_value_date"": ""2026-09-02T01:09:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-020,setl_xLceXKPnm4s4nl,CLEAN_MATCH,order_QIcvNxGRzslHon,pay_RX4I8IipmO50fS,CARD,setl_xLceXKPnm4s4nl,,TXN3384877323,3126.46,3126.46,0.0,2026-08-12,2026-08-14,2026-08-14,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3384877323"", ""bank_amount"": 312646, ""bank_value_date"": ""2026-08-14T21:50:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-021,setl_jkrsWw6SEMCiay,CLEAN_MATCH,order_jywf6BVgfAIFgf,pay_fLuxsyf348Jkxi,NETBANKING,setl_jkrsWw6SEMCiay,,TXN1337697327,887.12,887.12,0.0,2026-08-25,2026-08-27,2026-08-27,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1337697327"", ""bank_amount"": 88712, ""bank_value_date"": ""2026-08-27T21:56:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-022,setl_OyT2BAanrRXJXH,CLEAN_MATCH,order_s5fZTvvWGvgSCe,pay_Yh0OPk9pkjI7oz,CARD,setl_OyT2BAanrRXJXH,,TXN1689563213,223.37,223.37,0.0,2026-08-31,2026-09-02,2026-09-02,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1689563213"", ""bank_amount"": 22337, ""bank_value_date"": ""2026-09-02T03:36:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-023,setl_HkCUVIhhWZwZcS,CLEAN_MATCH,order_zixlNQO9IEitBd,pay_7EmxIOzESBkJXn,UPI,setl_HkCUVIhhWZwZcS,,TXN7285376112,821.27,821.27,0.0,2026-09-02,2026-09-04,2026-09-04,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7285376112"", ""bank_amount"": 82127, ""bank_value_date"": ""2026-09-04T13:27:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-024,setl_UR2CEK10f8NR0X,CLEAN_MATCH,order_vrHuRrq19Qf7W4,pay_1h1pSZVPEJqzCN,UPI,setl_UR2CEK10f8NR0X,,TXN0680914949,1157.0,1157.0,0.0,2026-08-04,2026-08-06,2026-08-06,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN0680914949"", ""bank_amount"": 115700, ""bank_value_date"": ""2026-08-06T19:36:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-025,setl_wsxY2NPeILkvnU,CLEAN_MATCH,order_s22fwfPOdMTUAf,pay_aDioQaRY9AiexT,UPI,setl_wsxY2NPeILkvnU,,TXN6267290882,4753.03,4753.03,0.0,2026-08-09,2026-08-11,2026-08-11,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6267290882"", ""bank_amount"": 475303, ""bank_value_date"": ""2026-08-11T22:15:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-026,setl_p4tZJhPdnFcy21,CLEAN_MATCH,order_VbYqdSJeCwEJwp,pay_3PhTa1acw5l7cX,WALLET,setl_p4tZJhPdnFcy21,,TXN7757190566,4096.32,4096.32,0.0,2026-08-18,2026-08-20,2026-08-20,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7757190566"", ""bank_amount"": 409632, ""bank_value_date"": ""2026-08-20T04:05:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-027,setl_6d5ASExAv4rBjM,CLEAN_MATCH,order_dsYk70IIfgXhdW,pay_iZxNNKqYbd3Bh4,NETBANKING,setl_6d5ASExAv4rBjM,,TXN5037473532,1918.74,1918.74,0.0,2026-08-26,2026-08-28,2026-08-28,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5037473532"", ""bank_amount"": 191874, ""bank_value_date"": ""2026-08-28T17:39:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-028,setl_ExHgD1OQke0st7,CLEAN_MATCH,order_0VJltYLNgEuevt,pay_2fRN2BqpepgaxT,CARD,setl_ExHgD1OQke0st7,,TXN1811216772,3691.32,3691.32,0.0,2026-09-06,2026-09-08,2026-09-08,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1811216772"", ""bank_amount"": 369132, ""bank_value_date"": ""2026-09-08T13:42:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-029,setl_98YhA9A9MZp44e,CLEAN_MATCH,order_qZIjRfPYzUodyG,pay_Q6Josy0cJGJ8j6,WALLET,setl_98YhA9A9MZp44e,,TXN5799512534,1445.48,1445.48,0.0,2026-08-29,2026-08-31,2026-08-31,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5799512534"", ""bank_amount"": 144548, ""bank_value_date"": ""2026-08-31T16:10:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-030,setl_4zEGxdXeRzWGJk,CLEAN_MATCH,order_JDkyMQyy2QdDqx,pay_YsrERg1i8BZqzO,CARD,setl_4zEGxdXeRzWGJk,,TXN2449453828,2058.5,2058.5,0.0,2026-09-11,2026-09-13,2026-09-13,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2449453828"", ""bank_amount"": 205850, ""bank_value_date"": ""2026-09-13T16:45:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-031,setl_gFP0xOLsgd9N1q,CLEAN_MATCH,order_xkJ71OQqzbWVa4,pay_kXnL6SRr30CnsG,EMI,setl_gFP0xOLsgd9N1q,,TXN6924307517,560.36,560.36,0.0,2026-08-19,2026-08-21,2026-08-21,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6924307517"", ""bank_amount"": 56036, ""bank_value_date"": ""2026-08-21T01:17:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-032,setl_3F1xsd0imzJ4Ct,CLEAN_MATCH,order_ND6wskOIsDTSI4,pay_3Onn2A2xKChdNJ,EMI,setl_3F1xsd0imzJ4Ct,,TXN7066493013,1235.94,1235.94,0.0,2026-09-13,2026-09-15,2026-09-15,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7066493013"", ""bank_amount"": 123594, ""bank_value_date"": ""2026-09-15T18:36:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-033,setl_37qTxvhyCZQDA2,CLEAN_MATCH,order_QDoafgJE6WeS4N,pay_9sCgkcsXtTfVc0,CARD,setl_37qTxvhyCZQDA2,,TXN6887844840,2903.63,2903.63,0.0,2026-09-01,2026-09-03,2026-09-03,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6887844840"", ""bank_amount"": 290363, ""bank_value_date"": ""2026-09-03T07:20:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-034,setl_nNzoCXB1BhEOgz,CLEAN_MATCH,order_RQVJJ8PuGRfPpv,pay_NjZ3Ma5FDEkUtu,NETBANKING,setl_nNzoCXB1BhEOgz,,TXN2456467172,3450.54,3450.54,0.0,2026-08-21,2026-08-23,2026-08-23,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2456467172"", ""bank_amount"": 345054, ""bank_value_date"": ""2026-08-23T00:47:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-035,setl_8aPB4MM7Qt46xH,CLEAN_MATCH,order_uSjjud5MPEJwWt,pay_7GWjHzv2Pus6MD,EMI,setl_8aPB4MM7Qt46xH,,TXN9500678415,4428.51,4428.51,0.0,2026-08-17,2026-08-19,2026-08-19,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN9500678415"", ""bank_amount"": 442851, ""bank_value_date"": ""2026-08-19T00:19:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-036,setl_uhOgM3tBMsKJwt,CLEAN_MATCH,order_2icJyHfnTTn40i,pay_nZmlX0059CIseg,EMI,setl_uhOgM3tBMsKJwt,,TXN3516881528,2007.74,2007.74,0.0,2026-08-01,2026-08-03,2026-08-03,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3516881528"", ""bank_amount"": 200774, ""bank_value_date"": ""2026-08-03T18:59:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-037,setl_lRWJhaOQtwjOp1,CLEAN_MATCH,order_2GUfO3Ha6QAA2R,pay_oXWxKTVRgiDo1r,EMI,setl_lRWJhaOQtwjOp1,,TXN3778674612,3244.63,3244.63,0.0,2026-09-08,2026-09-10,2026-09-10,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3778674612"", ""bank_amount"": 324463, ""bank_value_date"": ""2026-09-10T01:33:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-038,setl_mT2mmpMjg5PPMV,CLEAN_MATCH,order_VU7CCKbheN9Pot,pay_GaZpfPYe5Dv3q6,CARD,setl_mT2mmpMjg5PPMV,,TXN2507455361,2027.96,2027.96,0.0,2026-09-06,2026-09-08,2026-09-08,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2507455361"", ""bank_amount"": 202796, ""bank_value_date"": ""2026-09-08T16:42:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
