bank_txn_id,bank_reference,txn_type,amount,value_date,narration
TXN6267290882,964281173472,credit,475303,2026-08-11 22:15:00,NEFT SETTLEMENT 964281173472
TXN1771957711,634922916066,credit,320458,2026-09-10 06:54:00,NEFT SETTLEMENT 634922916066
TXN7757190566,730432772399,credit,409632,2026-08-20 04:05:00,NEFT SETTLEMENT 730432772399
TXN5037473532,664840346729,credit,191874,2026-08-28 17:39:00,NEFT SETTLEMENT 664840346729
TXN6972513617,217983059788,credit,23106,2026-08-23 20:24:00,NEFT SETTLEMENT 217983059788
TXN1811216772,013758056409,credit,369132,2026-09-08 13:42:00,NEFT SETTLEMENT 013758056409
TXN5799512534,333248765441,credit,144548,2026-08-31 16:10:00,NEFT SETTLEMENT 333248765441
TXN2449453828,820003134396,credit,205850,2026-09-13 16:45:00,NEFT SETTLEMENT 820003134396
TXN6924307517,782178886667,credit,56036,2026-08-21 01:17:00,NEFT SETTLEMENT 782178886667
TXN7066493013,774616027174,credit,123594,2026-09-15 18:36:00,NEFT SETTLEMENT 774616027174
TXN2746789341,354166366261,credit,29844,2026-08-23 18:27:00,NEFT SETTLEMENT 354166366261
TXN6887844840,117981945467,credit,290363,2026-09-03 07:20:00,NEFT SETTLEMENT 117981945467
TXN2456467172,500663526930,credit,345054,2026-08-23 00:47:00,NEFT SETTLEMENT 500663526930
TXN2623696956,662332816858,credit,211082,2026-08-25 21:52:00,NEFT SETTLEMENT 662332816858
TXN4909710221,678897675679,credit,174796,2026-09-24 03:58:00,NEFT SETTLEMENT 678897675679
TXN9500678415,298384081591,credit,442851,2026-08-19 00:19:00,NEFT SETTLEMENT 298384081591
TXN1375916977,091730743645,debit,453555,2026-08-22 00:19:00,REFUND DEBIT 091730743645
TXN3516881528,402274817843,credit,200774,2026-08-03 18:59:00,NEFT SETTLEMENT 402274817843
TXN2312854104,264424157651,credit,379934,2026-08-07 17:43:00,NEFT SETTLEMENT 264424157651
TXN3778674612,432674743523,credit,324463,2026-09-10 01:33:00,NEFT SETTLEMENT 432674743523
TXN5531525724,957553829440,credit,217390,2026-08-24 19:17:00,NEFT SETTLEMENT 957553829440
TXN2507455361,504649884992,credit,202796,2026-09-08 16:42:00,NEFT SETTLEMENT 504649884992
TXN6565923574,280723583436,credit,71382,2026-09-16 17:48:00,NEFT SETTLEMENT 280723583436
TXN5195547846,741510398489,credit,49902,2026-08-27 21:05:00,NEFT SETTLEMENT 741510398489
TXN0024743600,474319092140,credit,283016,2026-08-22 12:16:00,NEFT SETTLEMENT 474319092140
TXN1435638703,172463970315,credit,393991,2026-08-12 02:01:00,NEFT SETTLEMENT 172463970315
TXN9846378870,063465027096,credit,380594,2026-08-11 08:38:00,NEFT SETTLEMENT 063465027096
TXN0412822355,002018092379,credit,365087,2026-08-20 18:17:00,NEFT SETTLEMENT 002018092379
TXN2465143136,346741355952,credit,121073,2026-08-07 11:31:00,NEFT SETTLEMENT 346741355952
TXN8103993786,894976510571,credit,54823,2026-08-14 07:04:00,NEFT SETTLEMENT 894976510571
TXN7687395567,262219466884,debit,56148,2026-08-17 07:04:00,REFUND DEBIT 262219466884
TXN1817437461,353759337956,credit,29478,2026-09-05 04:10:00,NEFT SETTLEMENT 353759337956
TXN5076774825,804183422059,credit,77117,2026-08-15 00:25:00,NEFT SETTLEMENT 804183422059
TXN7018335161,489055650539,credit,328812,2026-08-25 04:45:00,NEFT SETTLEMENT 489055650539
TXN5529851385,222576211951,credit,69579,2026-08-22 11:10:00,NEFT SETTLEMENT 222576211951
TXN5933857475,611873675446,credit,35731,2026-08-11 01:21:00,NEFT SETTLEMENT 611873675446
TXN4983206377,180946960969,credit,257919,2026-08-08 04:42:00,NEFT SETTLEMENT 180946960969
TXN7269710524,330924496141,credit,385669,2026-09-15 20:07:00,NEFT SETTLEMENT 330924496141
TXN6863067117,905904761031,debit,394991,2026-09-18 20:07:00,REFUND DEBIT 905904761031
TXN1637307832,217694160624,credit,397565,2026-08-29 06:05:00,NEFT SETTLEMENT 217694160624
TXN6423290614,097543860407,credit,250870,2026-09-09 16:36:00,NEFT SETTLEMENT 097543860407
TXN5677877738,303403675713,debit,256934,2026-09-12 16:36:00,REFUND DEBIT 303403675713
TXN2812961511,746554583723,credit,267547,2026-09-15 14:55:00,NEFT SETTLEMENT 746554583723
TXN8446212907,883540029846,credit,260840,2026-08-23 20:50:00,NEFT SETTLEMENT 883540029846
TXN0361495913,756987784911,credit,307219,2026-09-02 19:20:00,NEFT SETTLEMENT 756987784911
TXN6394528108,902573549133,credit,390864,2026-08-10 07:57:00,NEFT SETTLEMENT 902573549133
TXN7814337545,633676544245,credit,253269,2026-09-15 12:39:00,NEFT SETTLEMENT 633676544245
TXN8520942708,163573634487,credit,285886,2026-09-08 16:26:00,NEFT SETTLEMENT 163573634487
TXN2098683882,216221073494,credit,58259,2026-09-09 11:51:00,NEFT SETTLEMENT 216221073494
TXN2289687408,381883939208,credit,302053,2026-09-04 04:21:00,NEFT SETTLEMENT 381883939208
TXN5259813511,436687805396,credit,145733,2026-08-12 03:26:00,NEFT SETTLEMENT 436687805396
TXN9810864950,554076806635,credit,32371,2026-08-11 17:07:00,NEFT SETTLEMENT 554076806635
TXN7835707478,059667956040,credit,32209,2026-09-13 21:27:00,NEFT SETTLEMENT 059667956040
TXN8331844457,714197440422,credit,32931,2026-08-08 14:16:00,NEFT SETTLEMENT 714197440422
TXN4912604114,698748734963,debit,33728,2026-08-11 14:16:00,REFUND DEBIT 698748734963
TXN1274627571,813812970842,credit,415959,2026-08-29 16:59:00,NEFT SETTLEMENT 813812970842
TXN4989569477,813812970842,credit,415959,2026-08-30 16:59:00,NEFT SETTLEMENT 813812970842 DUP
TXN3660957957,393064201067,credit,118618,2026-09-01 16:10:00,NEFT SETTLEMENT 393064201067
TXN1761548571,592350069055,credit,267071,2026-08-04 04:17:00,NEFT SETTLEMENT 592350069055
TXN5129950896,592350069055,credit,267071,2026-08-05 04:17:00,NEFT SETTLEMENT 592350069055 DUP
TXN7604942029,760086638831,credit,344073,2026-08-13 00:24:00,NEFT SETTLEMENT 760086638831
